FLIGHT_ID,P64: Duration of Takeoff (Seconds),P64: True Airspeed at Liftoff (knots),N1_liftoff,LIFTOFF,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,ACTYPE,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,N1_during_stated_takeoff_ground_roll
1003613,43.5,161.4375,87.453125,1,-1.0465657209302324,14.25,0.0,A330-2_4PW067,6582.37829876038,-3.09505485,-0.0,201400.364166,14.25,1400.0,6.25,86.8484738372093
1003660,41.375,157.3125,89.859375,1,0.2337964390243902,14.25,0.0,A330-2_4PW067,5902.934296317053,-1.67899885,-0.0,210478.618393,14.25,1400.0,5.75,88.8155487804878
1003661,40.5,150.3125,84.65625,1,-0.479327175,14.25,0.0,A330-2_4PW067,5586.338649166255,-1.99200925,0.0,191216.504333,14.25,100.0,3.75,84.378515625
1003666,30.375,135.6875,88.171875,1,9.828572233333334,14.25,0.0,A330-2_4PW067,3785.2249824948344,-5.8861608,-0.0,152262.21817,14.25,100.0,29.5,86.75989583333333
1003667,30.375,139.0,89.0,1,-1.5636278,14.25,0.0,A330-2_4PW067,3766.9748069924526,-2.83067465,-0.0,151170.893906,14.25,2300.0,25.0,87.9609375
1003668,41.625,153.375,91.3125,1,9.477883238095238,14.25,0.0,A330-2_4PW067,5861.481273229787,-5.71216655,-0.0,204963.396027,14.25,100.0,28.25,89.73846726190476
1003776,44.25,170.125,86.28125,1,-0.13584588636363637,14.25,0.0,A330-3_4PW067,7531.773922910818,-0.47065365,-0.0,220213.780151,14.25,1400.0,8.75,84.61328125
1003777,39.5,160.125,81.796875,1,0.23532012820512824,14.25,0.0,A330-3_4PW067,5966.652004459299,0.60022815,0.0,208139.571213,14.25,100.0,5.25,80.59094551282051
1003780,36.125,153.0,88.765625,1,-0.1237326111111111,14.25,0.0,A330-3_4PW067,5311.327275514743,-0.3330074,0.0,215771.744461,14.25,1400.0,6.0,86.29947916666667
1003782,48.375,155.4375,92.828125,1,-1.2863214583333333,22.25,0.0,A340-3_2CM015,7597.234903432696,-2.5977627,-0.0,256316.230286,22.25,1400.0,7.0,93.82275416666666
